Terytorialny_rozriz,Children_2019,Children_2020,Children_2021,Children_2022,Children_2023,Children_2024,Children_2025
Вінницька,464661,427894,418600,390775,376196,354520,407270
Волинська,322611,294668,290150,256031,252785,243666,298169
Дніпропетровська,926239,872821,817334,726381,667747,609615,679461
Донецька,412342,414118,394266,192698,153450,96247,53691
Житомирська,388228,367977,358157,314015,300489,271747,307186
Закарпатська,389965,345948,327146,303418,292135,273710,321477
Запорізька,461544,436525,406345,296332,250465,175089,176772
Івано-Франківська,318588,298766,291746,279843,277149,263777,302244
Київ,953833,944869,916859,800849,717991,662299,753223
Київська,638351,612391,616966,534109,519070,495274,565948
Кіровоградська,263156,237131,224624,204305,198551,192631,222071
Луганська,127224,120842,117075,,2850,3388,2437
Львівська,638808,612617,614809,584540,565640,541847,636485
Миколаївська,338349,315297,302985,244549,207697,180809,218871
Одеська,631642,607738,595957,512026,461806,412296,464731
Полтавська,388373,359455,339557,305594,285385,257295,292747
Рівненська,373835,343134,353555,312467,305741,290244,337820
Сумська,299534,276242,257559,231447,210540,189768,213447
Тернопільська,266093,244599,242523,211190,208669,197053,232777
Харківська,679809,656275,633264,509730,447894,395868,451258
Херсонська,305157,277825,266896,,74919,53310,58062
Хмельницька,402699,378567,363732,340006,328572,307639,354781
Черкаська,336353,307919,295090,266693,247052,225121,263020
Чернівецька,274655,251771,247182,229476,217610,204362,235343
Чернігівська,250129,237010,219391,181609,166030,157087,182248
