Terytorialnyi_rozriz,Institutions_2019,Institutions_2020,Institutions_2021,Institutions_2022,Institutions_2023,Institutions_2024,Institutions_2025
Вінницька,4788,4883,4730,4458,4253,4145,5455
Волинська,2985,3066,3056,3042,3053,3002,4166
Дніпропетровська,6248,6591,6396,6300,6256,6106,8598
Донецька,3080,3680,3610,2226,2183,1651,1326
Житомирська,4263,4318,4195,4074,3967,3719,4993
Закарпатська,3699,3711,3593,3762,3770,3719,5111
Запорізька,3256,3479,3321,2434,2119,1508,1806
Івано-Франківська,2895,2955,2934,3000,2957,2931,3950
Київ,4039,4615,4709,4649,4807,4911,6734
Київська,4946,5201,5381,5102,5004,4942,6725
Кіровоградська,2772,3059,2909,2805,2791,2753,3735
Луганська,1609,1736,1709,,129,99,135
Львівська,5391,5745,5962,6101,6193,6219,8403
Миколаївська,3478,3540,3466,3266,2971,2921,3719
Одеська,4601,5262,5013,5189,5068,5072,6620
Полтавська,3903,3959,3882,3762,3695,3564,4691
Рівненська,3527,3627,3484,3403,3455,3375,4628
Сумська,2838,2925,2718,2603,2491,2323,3028
Тернопільська,3684,3740,3692,3577,3519,3353,4355
Харківська,4702,4816,4790,4581,4384,4141,4992
Херсонська,2925,2973,2979,,763,786,922
Хмельницька,4607,4708,4499,4330,4168,3974,5330
Черкаська,3913,3828,3890,3681,3486,3343,4377
Чернівецька,2380,2475,2522,2521,2542,2537,3280
Чернігівська,2693,2781,2557,2521,2422,2297,2986
