Terytorialny_rozriz,Places_2019,Places_2020,Places_2021,Places_2022,Places_2023,Places_2024,Places_2025
Вінницька,320605,317666,328060,306670,290968,292358,364689
Волинська,177621,172036,173310,171850,177244,169909,214765
Дніпропетровська,625470,607755,594480,549613,512066,446512,505547
Донецька,306437,328399,309693,169977,165130,125537,85513
Житомирська,244696,246971,244729,241792,240292,229788,272702
Закарпатська,246313,237515,231162,213954,202453,192835,238835
Запорізька,291415,275920,251946,196314,171968,126517,125263
Івано-Франківська,181884,178568,178466,174036,181237,183086,220098
Київ,590260,592600,595549,567899,558374,519380,598339
Київська,438431,442954,456290,447912,450954,449168,470721
Кіровоградська,186251,176234,177269,164552,165652,176459,213361
Луганська,93878,95570,91296,,2216,2124,2192
Львівська,333484,338808,364397,382050,385516,389408,485399
Миколаївська,217294,220710,216782,215970,206277,201444,246515
Одеська,410367,431107,409964,427187,412414,413650,471728
Полтавська,241251,241956,243533,244327,241505,236493,293750
Рівненська,230761,228463,226900,225352,221597,220312,280738
Сумська,202742,202415,197185,193250,176068,173948,163892
Тернопільська,178278,175255,176636,173834,179435,178325,214121
Харківська,481261,487524,490242,458562,428893,389930,460616
Херсонська,222492,220123,209690,,74001,70823,47647
Хмельницька,250758,253540,249605,249323,247298,239402,283296
Черкаська,262318,262023,259871,256170,249556,242584,297402
Чернівецька,165504,169480,174063,175240,176662,177429,164191
Чернігівська,163904,162122,147395,148096,141338,138355,171603
