Terytorialnyi_rozriz,Institutions_2019,Institutions_2020,Institutions_2021,Institutions_2022,Institutions_2023,Institutions_2024,Institutions_2025,Places_2019,Places_2020,Places_2021,Places_2022,Places_2023,Places_2024,Places_2025,Children_2019,Children_2020,Children_2021,Children_2022,Children_2023,Children_2024,Children_2025
Вінницька,4788,4883,4730,4458,4253,4145,5455,320605,317666,328060,306670,290968,292358,364689,464661,427894,418600,390775,376196,354520,407270
Волинська,2985,3066,3056,3042,3053,3002,4166,177621,172036,173310,171850,177244,169909,214765,322611,294668,290150,256031,252785,243666,298169
Дніпропетровська,6248,6591,6396,6300,6256,6106,8598,625470,607755,594480,549613,512066,446512,505547,926239,872821,817334,726381,667747,609615,679461
Донецька,3080,3680,3610,2226,2183,1651,1326,306437,328399,309693,169977,165130,125537,85513,412342,414118,394266,192698,153450,96247,53691
Житомирська,4263,4318,4195,4074,3967,3719,4993,244696,246971,244729,241792,240292,229788,272702,388228,367977,358157,314015,300489,271747,307186
Закарпатська,3699,3711,3593,3762,3770,3719,5111,246313,237515,231162,213954,202453,192835,238835,389965,345948,327146,303418,292135,273710,321477
Запорізька,3256,3479,3321,2434,2119,1508,1806,291415,275920,251946,196314,171968,126517,125263,461544,436525,406345,296332,250465,175089,176772
Івано-Франківська,2895,2955,2934,3000,2957,2931,3950,181884,178568,178466,174036,181237,183086,220098,318588,298766,291746,279843,277149,263777,302244
Київ,4039,4615,4709,4649,4807,4911,6734,590260,592600,595549,567899,558374,519380,598339,953833,944869,916859,800849,717991,662299,753223
Київська,4946,5201,5381,5102,5004,4942,6725,438431,442954,456290,447912,450954,449168,470721,638351,612391,616966,534109,519070,495274,565948
Кіровоградська,2772,3059,2909,2805,2791,2753,3735,186251,176234,177269,164552,165652,176459,213361,263156,237131,224624,204305,198551,192631,222071
Луганська,1609,1736,1709,,129,99,135,93878,95570,91296,,2216,2124,2192,127224,120842,117075,,2850,3388,2437
Львівська,5391,5745,5962,6101,6193,6219,8403,333484,338808,364397,382050,385516,389408,485399,638808,612617,614809,584540,565640,541847,636485
Миколаївська,3478,3540,3466,3266,2971,2921,3719,217294,220710,216782,215970,206277,201444,246515,338349,315297,302985,244549,207697,180809,218871
Одеська,4601,5262,5013,5189,5068,5072,6620,410367,431107,409964,427187,412414,413650,471728,631642,607738,595957,512026,461806,412296,464731
Полтавська,3903,3959,3882,3762,3695,3564,4691,241251,241956,243533,244327,241505,236493,293750,388373,359455,339557,305594,285385,257295,292747
Рівненська,3527,3627,3484,3403,3455,3375,4628,230761,228463,226900,225352,221597,220312,280738,373835,343134,353555,312467,305741,290244,337820
Сумська,2838,2925,2718,2603,2491,2323,3028,202742,202415,197185,193250,176068,173948,163892,299534,276242,257559,231447,210540,189768,213447
Тернопільська,3684,3740,3692,3577,3519,3353,4355,178278,175255,176636,173834,179435,178325,214121,266093,244599,242523,211190,208669,197053,232777
Харківська,4702,4816,4790,4581,4384,4141,4992,481261,487524,490242,458562,428893,389930,460616,679809,656275,633264,509730,447894,395868,451258
Херсонська,2925,2973,2979,,763,786,922,222492,220123,209690,,74001,70823,47647,305157,277825,266896,,74919,53310,58062
Хмельницька,4607,4708,4499,4330,4168,3974,5330,250758,253540,249605,249323,247298,239402,283296,402699,378567,363732,340006,328572,307639,354781
Черкаська,3913,3828,3890,3681,3486,3343,4377,262318,262023,259871,256170,249556,242584,297402,336353,307919,295090,266693,247052,225121,263020
Чернівецька,2380,2475,2522,2521,2542,2537,3280,165504,169480,174063,175240,176662,177429,164191,274655,251771,247182,229476,217610,204362,235343
Чернігівська,2693,2781,2557,2521,2422,2297,2986,163904,162122,147395,148096,141338,138355,171603,250129,237010,219391,181609,166030,157087,182248
