Region,Year,Institutions,Places,Children,Occupancy_rate_pct,Children_per_institution
Вінницька,2019,4788.0,320605.0,464661.0,144.9,97.0
Вінницька,2020,4883.0,317666.0,427894.0,134.7,87.6
Вінницька,2021,4730.0,328060.0,418600.0,127.6,88.5
Вінницька,2022,4458.0,306670.0,390775.0,127.4,87.7
Вінницька,2023,4253.0,290968.0,376196.0,129.3,88.5
Вінницька,2024,4145.0,292358.0,354520.0,121.3,85.5
Вінницька,2025,5455.0,364689.0,407270.0,111.7,74.7
Волинська,2019,2985.0,177621.0,322611.0,181.6,108.1
Волинська,2020,3066.0,172036.0,294668.0,171.3,96.1
Волинська,2021,3056.0,173310.0,290150.0,167.4,94.9
Волинська,2022,3042.0,171850.0,256031.0,149.0,84.2
Волинська,2023,3053.0,177244.0,252785.0,142.6,82.8
Волинська,2024,3002.0,169909.0,243666.0,143.4,81.2
Волинська,2025,4166.0,214765.0,298169.0,138.8,71.6
Дніпропетровська,2019,6248.0,625470.0,926239.0,148.1,148.2
Дніпропетровська,2020,6591.0,607755.0,872821.0,143.6,132.4
Дніпропетровська,2021,6396.0,594480.0,817334.0,137.5,127.8
Дніпропетровська,2022,6300.0,549613.0,726381.0,132.2,115.3
Дніпропетровська,2023,6256.0,512066.0,667747.0,130.4,106.7
Дніпропетровська,2024,6106.0,446512.0,609615.0,136.5,99.8
Дніпропетровська,2025,8598.0,505547.0,679461.0,134.4,79.0
Донецька,2019,3080.0,306437.0,412342.0,134.6,133.9
Донецька,2020,3680.0,328399.0,414118.0,126.1,112.5
Донецька,2021,3610.0,309693.0,394266.0,127.3,109.2
Донецька,2022,2226.0,169977.0,192698.0,113.4,86.6
Донецька,2023,2183.0,165130.0,153450.0,92.9,70.3
Донецька,2024,1651.0,125537.0,96247.0,76.7,58.3
Донецька,2025,1326.0,85513.0,53691.0,62.8,40.5
Житомирська,2019,4263.0,244696.0,388228.0,158.7,91.1
Житомирська,2020,4318.0,246971.0,367977.0,149.0,85.2
Житомирська,2021,4195.0,244729.0,358157.0,146.3,85.4
Житомирська,2022,4074.0,241792.0,314015.0,129.9,77.1
Житомирська,2023,3967.0,240292.0,300489.0,125.1,75.7
Житомирська,2024,3719.0,229788.0,271747.0,118.3,73.1
Житомирська,2025,4993.0,272702.0,307186.0,112.6,61.5
Закарпатська,2019,3699.0,246313.0,389965.0,158.3,105.4
Закарпатська,2020,3711.0,237515.0,345948.0,145.7,93.2
Закарпатська,2021,3593.0,231162.0,327146.0,141.5,91.1
Закарпатська,2022,3762.0,213954.0,303418.0,141.8,80.7
Закарпатська,2023,3770.0,202453.0,292135.0,144.3,77.5
Закарпатська,2024,3719.0,192835.0,273710.0,141.9,73.6
Закарпатська,2025,5111.0,238835.0,321477.0,134.6,62.9
Запорізька,2019,3256.0,291415.0,461544.0,158.4,141.8
Запорізька,2020,3479.0,275920.0,436525.0,158.2,125.5
Запорізька,2021,3321.0,251946.0,406345.0,161.3,122.4
Запорізька,2022,2434.0,196314.0,296332.0,150.9,121.7
Запорізька,2023,2119.0,171968.0,250465.0,145.6,118.2
Запорізька,2024,1508.0,126517.0,175089.0,138.4,116.1
Запорізька,2025,1806.0,125263.0,176772.0,141.1,97.9
Івано-Франківська,2019,2895.0,181884.0,318588.0,175.2,110.0
Івано-Франківська,2020,2955.0,178568.0,298766.0,167.3,101.1
Івано-Франківська,2021,2934.0,178466.0,291746.0,163.5,99.4
Івано-Франківська,2022,3000.0,174036.0,279843.0,160.8,93.3
Івано-Франківська,2023,2957.0,181237.0,277149.0,152.9,93.7
Івано-Франківська,2024,2931.0,183086.0,263777.0,144.1,90.0
Івано-Франківська,2025,3950.0,220098.0,302244.0,137.3,76.5
Київ,2019,4039.0,590260.0,953833.0,161.6,236.2
Київ,2020,4615.0,592600.0,944869.0,159.4,204.7
Київ,2021,4709.0,595549.0,916859.0,154.0,194.7
Київ,2022,4649.0,567899.0,800849.0,141.0,172.3
Київ,2023,4807.0,558374.0,717991.0,128.6,149.4
Київ,2024,4911.0,519380.0,662299.0,127.5,134.9
Київ,2025,6734.0,598339.0,753223.0,125.9,111.9
Київська,2019,4946.0,438431.0,638351.0,145.6,129.1
Київська,2020,5201.0,442954.0,612391.0,138.3,117.7
Київська,2021,5381.0,456290.0,616966.0,135.2,114.7
Київська,2022,5102.0,447912.0,534109.0,119.2,104.7
Київська,2023,5004.0,450954.0,519070.0,115.1,103.7
Київська,2024,4942.0,449168.0,495274.0,110.3,100.2
Київська,2025,6725.0,470721.0,565948.0,120.2,84.2
Кіровоградська,2019,2772.0,186251.0,263156.0,141.3,94.9
Кіровоградська,2020,3059.0,176234.0,237131.0,134.6,77.5
Кіровоградська,2021,2909.0,177269.0,224624.0,126.7,77.2
Кіровоградська,2022,2805.0,164552.0,204305.0,124.2,72.8
Кіровоградська,2023,2791.0,165652.0,198551.0,119.9,71.1
Кіровоградська,2024,2753.0,176459.0,192631.0,109.2,70.0
Кіровоградська,2025,3735.0,213361.0,222071.0,104.1,59.5
Луганська,2019,1609.0,93878.0,127224.0,135.5,79.1
Луганська,2020,1736.0,95570.0,120842.0,126.4,69.6
Луганська,2021,1709.0,91296.0,117075.0,128.2,68.5
Луганська,2022,,,,,
Луганська,2023,129.0,2216.0,2850.0,128.6,22.1
Луганська,2024,99.0,2124.0,3388.0,159.5,34.2
Луганська,2025,135.0,2192.0,2437.0,111.2,18.1
Львівська,2019,5391.0,333484.0,638808.0,191.6,118.5
Львівська,2020,5745.0,338808.0,612617.0,180.8,106.6
Львівська,2021,5962.0,364397.0,614809.0,168.7,103.1
Львівська,2022,6101.0,382050.0,584540.0,153.0,95.8
Львівська,2023,6193.0,385516.0,565640.0,146.7,91.3
Львівська,2024,6219.0,389408.0,541847.0,139.1,87.1
Львівська,2025,8403.0,485399.0,636485.0,131.1,75.7
Миколаївська,2019,3478.0,217294.0,338349.0,155.7,97.3
Миколаївська,2020,3540.0,220710.0,315297.0,142.9,89.1
Миколаївська,2021,3466.0,216782.0,302985.0,139.8,87.4
Миколаївська,2022,3266.0,215970.0,244549.0,113.2,74.9
Миколаївська,2023,2971.0,206277.0,207697.0,100.7,69.9
Миколаївська,2024,2921.0,201444.0,180809.0,89.8,61.9
Миколаївська,2025,3719.0,246515.0,218871.0,88.8,58.9
Одеська,2019,4601.0,410367.0,631642.0,153.9,137.3
Одеська,2020,5262.0,431107.0,607738.0,141.0,115.5
Одеська,2021,5013.0,409964.0,595957.0,145.4,118.9
Одеська,2022,5189.0,427187.0,512026.0,119.9,98.7
Одеська,2023,5068.0,412414.0,461806.0,112.0,91.1
Одеська,2024,5072.0,413650.0,412296.0,99.7,81.3
Одеська,2025,6620.0,471728.0,464731.0,98.5,70.2
Полтавська,2019,3903.0,241251.0,388373.0,161.0,99.5
Полтавська,2020,3959.0,241956.0,359455.0,148.6,90.8
Полтавська,2021,3882.0,243533.0,339557.0,139.4,87.5
Полтавська,2022,3762.0,244327.0,305594.0,125.1,81.2
Полтавська,2023,3695.0,241505.0,285385.0,118.2,77.2
Полтавська,2024,3564.0,236493.0,257295.0,108.8,72.2
Полтавська,2025,4691.0,293750.0,292747.0,99.7,62.4
Рівненська,2019,3527.0,230761.0,373835.0,162.0,106.0
Рівненська,2020,3627.0,228463.0,343134.0,150.2,94.6
Рівненська,2021,3484.0,226900.0,353555.0,155.8,101.5
Рівненська,2022,3403.0,225352.0,312467.0,138.7,91.8
Рівненська,2023,3455.0,221597.0,305741.0,138.0,88.5
Рівненська,2024,3375.0,220312.0,290244.0,131.7,86.0
Рівненська,2025,4628.0,280738.0,337820.0,120.3,73.0
Сумська,2019,2838.0,202742.0,299534.0,147.7,105.5
Сумська,2020,2925.0,202415.0,276242.0,136.5,94.4
Сумська,2021,2718.0,197185.0,257559.0,130.6,94.8
Сумська,2022,2603.0,193250.0,231447.0,119.8,88.9
Сумська,2023,2491.0,176068.0,210540.0,119.6,84.5
Сумська,2024,2323.0,173948.0,189768.0,109.1,81.7
Сумська,2025,3028.0,163892.0,213447.0,130.2,70.5
Тернопільська,2019,3684.0,178278.0,266093.0,149.3,72.2
Тернопільська,2020,3740.0,175255.0,244599.0,139.6,65.4
Тернопільська,2021,3692.0,176636.0,242523.0,137.3,65.7
Тернопільська,2022,3577.0,173834.0,211190.0,121.5,59.0
Тернопільська,2023,3519.0,179435.0,208669.0,116.3,59.3
Тернопільська,2024,3353.0,178325.0,197053.0,110.5,58.8
Тернопільська,2025,4355.0,214121.0,232777.0,108.7,53.5
Харківська,2019,4702.0,481261.0,679809.0,141.3,144.6
Харківська,2020,4816.0,487524.0,656275.0,134.6,136.3
Харківська,2021,4790.0,490242.0,633264.0,129.2,132.2
Харківська,2022,4581.0,458562.0,509730.0,111.2,111.3
Харківська,2023,4384.0,428893.0,447894.0,104.4,102.2
Харківська,2024,4141.0,389930.0,395868.0,101.5,95.6
Харківська,2025,4992.0,460616.0,451258.0,98.0,90.4
Херсонська,2019,2925.0,222492.0,305157.0,137.2,104.3
Херсонська,2020,2973.0,220123.0,277825.0,126.2,93.4
Херсонська,2021,2979.0,209690.0,266896.0,127.3,89.6
Херсонська,2022,,,,,
Херсонська,2023,763.0,74001.0,74919.0,101.2,98.2
Херсонська,2024,786.0,70823.0,53310.0,75.3,67.8
Херсонська,2025,922.0,47647.0,58062.0,121.9,63.0
Хмельницька,2019,4607.0,250758.0,402699.0,160.6,87.4
Хмельницька,2020,4708.0,253540.0,378567.0,149.3,80.4
Хмельницька,2021,4499.0,249605.0,363732.0,145.7,80.8
Хмельницька,2022,4330.0,249323.0,340006.0,136.4,78.5
Хмельницька,2023,4168.0,247298.0,328572.0,132.9,78.8
Хмельницька,2024,3974.0,239402.0,307639.0,128.5,77.4
Хмельницька,2025,5330.0,283296.0,354781.0,125.2,66.6
Черкаська,2019,3913.0,262318.0,336353.0,128.2,86.0
Черкаська,2020,3828.0,262023.0,307919.0,117.5,80.4
Черкаська,2021,3890.0,259871.0,295090.0,113.6,75.9
Черкаська,2022,3681.0,256170.0,266693.0,104.1,72.5
Черкаська,2023,3486.0,249556.0,247052.0,99.0,70.9
Черкаська,2024,3343.0,242584.0,225121.0,92.8,67.3
Черкаська,2025,4377.0,297402.0,263020.0,88.4,60.1
Чернівецька,2019,2380.0,165504.0,274655.0,166.0,115.4
Чернівецька,2020,2475.0,169480.0,251771.0,148.6,101.7
Чернівецька,2021,2522.0,174063.0,247182.0,142.0,98.0
Чернівецька,2022,2521.0,175240.0,229476.0,130.9,91.0
Чернівецька,2023,2542.0,176662.0,217610.0,123.2,85.6
Чернівецька,2024,2537.0,177429.0,204362.0,115.2,80.6
Чернівецька,2025,3280.0,164191.0,235343.0,143.3,71.8
Чернігівська,2019,2693.0,163904.0,250129.0,152.6,92.9
Чернігівська,2020,2781.0,162122.0,237010.0,146.2,85.2
Чернігівська,2021,2557.0,147395.0,219391.0,148.8,85.8
Чернігівська,2022,2521.0,148096.0,181609.0,122.6,72.0
Чернігівська,2023,2422.0,141338.0,166030.0,117.5,68.6
Чернігівська,2024,2297.0,138355.0,157087.0,113.5,68.4
Чернігівська,2025,2986.0,171603.0,182248.0,106.2,61.0
