Terytorialny_rozriz,Year,Teachers Count
Житомирська,2019,11234.0
Донецька,2019,13288.0
Вінницька,2019,12710.0
Дніпропетровська,2019,30417.0
Волинська,2019,9207.0
Київська,2019,14693.0
Луганська,2019,4129.0
Кіровоградська,2019,7750.0
Івано-Франківська,2019,10357.0
Закарпатська,2019,10352.0
Запорізька,2019,14935.0
Львівська,2019,19944.0
Рівненська,2019,11314.0
Тернопільська,2019,8777.0
Сумська,2019,9898.0
Полтавська,2019,11823.0
Одеська,2019,17102.0
Миколаївська,2019,8858.0
Хмельницька,2019,10674.0
Черкаська,2019,10883.0
Чернігівська,2019,7727.0
Чернівецька,2019,8440.0
Херсонська,2019,9056.0
Харківська,2019,19163.0
Київ,2019,35653.0
Житомирська,2020,11231.0
Донецька,2020,14421.0
Вінницька,2020,13079.0
Дніпропетровська,2020,31555.0
Волинська,2020,10801.0
Київська,2020,15954.0
Луганська,2020,4522.0
Кіровоградська,2020,8051.0
Івано-Франківська,2020,12042.0
Закарпатська,2020,11556.0
Запорізька,2020,15764.0
Львівська,2020,20564.0
Рівненська,2020,12002.0
Тернопільська,2020,9558.0
Сумська,2020,10085.0
Полтавська,2020,12076.0
Одеська,2020,17863.0
Миколаївська,2020,9000.0
Хмельницька,2020,11213.0
Черкаська,2020,11253.0
Чернігівська,2020,8678.0
Чернівецька,2020,8041.0
Херсонська,2020,8932.0
Харківська,2020,19574.0
Київ,2020,34179.0
Житомирська,2021,11246.0
Донецька,2021,13884.0
Вінницька,2021,13113.0
Дніпропетровська,2021,31629.0
Волинська,2021,10732.0
Київська,2021,16288.0
Луганська,2021,4593.0
Кіровоградська,2021,7887.0
Івано-Франківська,2021,12070.0
Закарпатська,2021,11118.0
Запорізька,2021,15032.0
Львівська,2021,20408.0
Рівненська,2021,11675.0
Тернопільська,2021,9761.0
Сумська,2021,9892.0
Полтавська,2021,12112.0
Одеська,2021,17615.0
Миколаївська,2021,8924.0
Хмельницька,2021,10833.0
Черкаська,2021,11981.0
Чернігівська,2021,8330.0
Чернівецька,2021,7827.0
Херсонська,2021,9258.0
Харківська,2021,19118.0
Київ,2021,35184.0
Житомирська,2022,10647.0
Донецька,2022,6284.0
Вінницька,2022,13036.0
Дніпропетровська,2022,30796.0
Волинська,2022,10505.0
Київська,2022,15182.0
Луганська,2022,
Кіровоградська,2022,7774.0
Івано-Франківська,2022,12933.0
Закарпатська,2022,10897.0
Запорізька,2022,12591.0
Львівська,2022,21268.0
Рівненська,2022,11381.0
Тернопільська,2022,9509.0
Сумська,2022,9339.0
Полтавська,2022,12149.0
Одеська,2022,17601.0
Миколаївська,2022,8750.0
Хмельницька,2022,10923.0
Черкаська,2022,10935.0
Чернігівська,2022,7649.0
Чернівецька,2022,7632.0
Херсонська,2022,
Харківська,2022,16998.0
Київ,2022,33284.0
Житомирська,2023,10555.0
Донецька,2023,5458.0
Вінницька,2023,13084.0
Дніпропетровська,2023,28969.0
Волинська,2023,10350.0
Київська,2023,15584.0
Луганська,2023,394.0
Кіровоградська,2023,7762.0
Івано-Франківська,2023,13081.0
Закарпатська,2023,10730.0
Запорізька,2023,11509.0
Львівська,2023,22119.0
Рівненська,2023,11401.0
Тернопільська,2023,9755.0
Сумська,2023,9134.0
Полтавська,2023,12225.0
Одеська,2023,17129.0
Миколаївська,2023,7904.0
Хмельницька,2023,10863.0
Черкаська,2023,10710.0
Чернігівська,2023,7365.0
Чернівецька,2023,7876.0
Херсонська,2023,2375.0
Харківська,2023,15840.0
Київ,2023,33507.0
Житомирська,2024,10301.0
Донецька,2024,3792.0
Вінницька,2024,12418.0
Дніпропетровська,2024,27746.0
Волинська,2024,10386.0
Київська,2024,15359.0
Луганська,2024,214.0
Кіровоградська,2024,7653.0
Івано-Франківська,2024,12934.0
Закарпатська,2024,10511.0
Запорізька,2024,8753.0
Львівська,2024,22377.0
Рівненська,2024,11198.0
Тернопільська,2024,9596.0
Сумська,2024,8567.0
Полтавська,2024,11825.0
Одеська,2024,16862.0
Миколаївська,2024,7677.0
Хмельницька,2024,10645.0
Черкаська,2024,10331.0
Чернігівська,2024,7282.0
Чернівецька,2024,7572.0
Херсонська,2024,2017.0
Харківська,2024,14356.0
Київ,2024,32274.0
Житомирська,2025,9659.0
Донецька,2025,2580.0
Вінницька,2025,12091.0
Дніпропетровська,2025,24460.0
Волинська,2025,9949.0
Київська,2025,14838.0
Луганська,2025,140.0
Кіровоградська,2025,7353.0
Івано-Франківська,2025,12458.0
Закарпатська,2025,10033.0
Запорізька,2025,6922.0
Львівська,2025,21590.0
Рівненська,2025,10708.0
Тернопільська,2025,9267.0
Сумська,2025,7677.0
Полтавська,2025,11458.0
Одеська,2025,16053.0
Миколаївська,2025,7145.0
Хмельницька,2025,10052.0
Черкаська,2025,10074.0
Чернігівська,2025,7090.0
Чернівецька,2025,7277.0
Херсонська,2025,1402.0
Харківська,2025,13243.0
Київ,2025,30127.0
